query,seendate,title,domain,language,sourcecountry,url,url_mobile,socialimage
Ukrzaliznytsia,20260504T234500Z,Завод поставил Укрзализныце некачественные вагоны на сумму свыше 64 млн,korrespondent.net,Russian,Ukraine,https://korrespondent.net/ukraine/4876148-zavod-postavyl-ukrzalyznytse-nekachestvennye-vahony-na-summu-svyshe-64-mln,https://korrespondent.net/amp/4876148-zavod-postavyl-ukrzalyznytse-nekachestvennye-vahony-na-summu-svyshe-64-mln,https://kor.ill.in.ua/m/1260x900/4423271.png
"""Ukraine"" ""energy infrastructure""",20260504T191500Z,Сибіга в Єревані наголосив на важливості вертикального газового коридору для енергетичної безпеки,interfax.com.ua,Ukrainian,Ukraine,https://interfax.com.ua/news/general/1164808.html,https://interfax.com.ua/news/general/1164808-amp.html,https://media.interfax.com.ua/media/thumbs/images/2025/03/zaiag/mIL8zgG94A2K.jpg
"""Ukraine"" ""Shahed""",20260504T190000Z,"AFU Air Force : 70 enemy UAVs neutralized since 08 : 30 , ballistic missile , 14 attack drone hits recorded",en.interfax.com.ua,English,Ukraine,https://en.interfax.com.ua/news/general/1164791.html,https://en.interfax.com.ua/news/general/1164791-amp.html,https://media.interfax.com.ua/media/thumbs/images/2022/05/sZHl-ayHLA_d.jpg
"""Ukraine"" ""Shahed""",20260504T143000Z,What is the Ukrainian anti - drone system Sky Map being used in the Gulf ? ,aljazeera.com,English,United States,https://www.aljazeera.com/news/2026/5/4/what-is-the-ukrainian-anti-drone-system-sky-map-being-used-in-the-gulf,https://www.aljazeera.com/amp/news/2026/5/4/what-is-the-ukrainian-anti-drone-system-sky-map-being-used-in-the-gulf,https://www.aljazeera.com/wp-content/uploads/2026/05/INTERACTIVE-anti-drone-poster-image-1777883929.png
Ukrzaliznytsia,20260504T073000Z,Женщин не пустили на нижние полки в поезде Чоп - Киев,24tv.ua,Russian,Ukraine,https://24tv.ua/ru/zhenshhin-ne-pustili-nizhnie-polki-poezde-chop-kiev-detali-incidenta_n3060981,https://24tv.ua/ru/zhenshhin-ne-pustili-nizhnie-polki-poezde-chop-kiev-detali-incidenta_n3060981/amp,https://24tv.ua/resources/photos/news/202605/3060981.jpg?v=1777871936000
"""Ukraine"" ""energy infrastructure""",20260503T113000Z,Russian port hit in wave of Ukrainian drone strikes,canberratimes.com.au,English,Australia,https://www.canberratimes.com.au/story/9237992/russian-port-hit-in-wave-of-ukrainian-drone-strikes/,,https://www.canberratimes.com.au/images/transform/v1/crop/frm/silverstone-feed-data/4e1a66e3-5518-474b-bc7e-4e8bcd1d9f5c.jpg/r0_90_800_510_w1200_h630_fmax.jpg
Ukrzaliznytsia,20260503T104500Z,Поезда на Харьковщине опаздывают на 30 минут,objectiv.tv,Russian,Ukraine,https://www.objectiv.tv/objectively/2026/05/03/poezda-na-harkovshhine-opazdyvayut-na-30-minut/,,https://www.objectiv.tv/wp-content/uploads/2025/05/poezd.jpg
"""Ukraine"" ""Shahed""",20260502T104500Z,"Air defense neutralizes 142 of 163 drones overnight , hits recorded at 12 locations",en.interfax.com.ua,English,Ukraine,https://en.interfax.com.ua/news/general/1164282.html,https://en.interfax.com.ua/news/general/1164282-amp.html,https://media.interfax.com.ua/media/thumbs/images/2025/10/cexew/kIjqQp24ISn1.jpg
"""Ukraine"" ""Shahed""",20260501T221500Z,USAF Tests Interceptor Drone To Hunt Iranian Shahed - Style Threat,zerohedge.com,English,United States,https://www.zerohedge.com/military/usaf-tests-interceptor-drone-hunt-iranian-shahed-style-threat,,https://assets.zerohedge.com/s3fs-public/styles/16_9_max_700/public/2026-04/2026-04-30_15-22-16.png?itok=yXXrKoma
"""Ukraine"" ""energy infrastructure""",20260501T194500Z,Корецький : з початку року Росія 96 разів атакувала обʼєкти « Нафтогазу » ,radiosvoboda.org,Ukrainian,Ukraine,https://www.radiosvoboda.org/a/news-naftohaz-ataky-rf-viyna/33747182.html,https://www.radiosvoboda.org/amp/news-naftohaz-ataky-rf-viyna/33747182.html,https://gdb.rferl.org/e5f4d6fe-5525-43dd-cf74-08de31c8eae4_w1200_h630.jpg
Ukrzaliznytsia,20260501T193000Z,Возврат билетов Укрзалізниці – полная стоимость за 15 - 20 суток | Новости Украины,news.liga.net,Russian,Ukraine,https://news.liga.net/society/news/ukrzaliznitsya,https://news.liga.net/amp/society/news/ukrzaliznitsya,https://storage.liga.net/images/general/social/social-4620025-ru.png?v=1777650937
Ukrzaliznytsia,20260501T193000Z,Как вернуть билет на поезд - новые правила Укрзализныци от 2 мая 2026 года,24tv.ua,Russian,Ukraine,https://24tv.ua/economy/ru/kak-vernut-bilet-na-poezd-novye-pravila-ukrzaliznyci-ot-2-maja-2026-goda_n3060185,https://24tv.ua/economy/ru/kak-vernut-bilet-na-poezd-novye-pravila-ukrzaliznyci-ot-2-maja-2026-goda_n3060185/amp,https://24tv.ua/resources/photos/news/202605/3060185.jpg?v=1777659116000
Ukrzaliznytsia,20260501T084500Z,Во Львовской области автокран выехал на железнодорожные пути и столкнулся с пассажирским поездом  Киев - Ужгород  ,vesti-ua.net,Russian,Ukraine,https://vesti-ua.net/novosti/proisshestviya/283054-vo-lvovskoy-oblasti-avtokran-vyehal-na-zheleznodorozhnye-puti-i-stolknulsya-s-passazhirskim-poezdom-kiev-uzhgorod.html,,https://vesti-ua.net/uploads/posts/2026-05/1777614775_snimok-ekrana-2026-05-01-084907.webp
Ukrzaliznytsia,20260501T083000Z,"Train collides with truck crane at level crossing in Lviv region : driver killed , 2 injured",en.interfax.com.ua,English,Ukraine,https://en.interfax.com.ua/news/general/1163917.html,https://en.interfax.com.ua/news/general/1163917-amp.html,https://media.interfax.com.ua/media/social_img/1163917_063628_0105.jpg
"""Ukraine"" ""Shahed""",20260501T083000Z,"Air defence eliminates 190 of 210 enemy drones , hits by 20 drones recorded at 14 locations – Air Force",en.interfax.com.ua,English,Ukraine,https://en.interfax.com.ua/news/general/1163916.html,https://en.interfax.com.ua/news/general/1163916-amp.html,https://media.interfax.com.ua/media/thumbs/images/2024/12/blxtk/2YY1PfUwulfB.jpg
"""Ukraine"" ""Shahed""",20260501T000000Z,Israel rushes  Iron Beam  laser defense system to UAE to counter Iranian drone threat,ynetnews.com,English,Israel,https://www.ynetnews.com/article/skpgxlzrze,,https://ynet-pic1.yit.co.il/picserver6/crop_images/2025/05/14/rk11M28VfWel/rk11M28VfWel_14_0_1271_715_0_large.jpg
"""Ukraine"" ""energy infrastructure""",20260430T180000Z,"  Pilnīgi viss ir aizgājis pa gaisu … Slaidiņš atklāj , ka ukraiņi veikuši fantastisku triecienu dziļi Krievijas teritorijā",la.lv,Latvian,Latvia,https://www.la.lv/pilnigi-viss-ir-aizgajis-pa-gaisu-slaidins-atklaj-ka-ukraini-veikusi-fantastisku-triecienu-dzili-krievijas-teritorija,,https://pic.la.lv/2026/04/imago_st_0421_0854326876-scaled-forsharing.png
"""Ukraine"" ""Shahed""",20260430T073000Z,"Air defense eliminates 172 of 206 enemy drones , but ballistic missile hit recorded",en.interfax.com.ua,English,Ukraine,https://en.interfax.com.ua/news/general/1163619.html,https://en.interfax.com.ua/news/general/1163619-amp.html,https://media.interfax.com.ua/media/thumbs/images/2025/11/ojyob/s-cMmvTcDNBG.jpg
"""Ukraine"" ""energy infrastructure""",20260429T223000Z,Зеленський відповів партнерам на заклики припинити атаки на російські НПЗ,zn.ua,Ukrainian,Ukraine,https://zn.ua/ukr/UKRAINE/zelenskij-partneri-prosili-ne-biti-po-rosijskikh-npz-cherez-situatsiju-na-blizkomu-skhodi.html,https://zn.ua/ukr/amp/UKRAINE/zelenskij-partneri-prosili-ne-biti-po-rosijskikh-npz-cherez-situatsiju-na-blizkomu-skhodi.html,
Ukrzaliznytsia,20260429T151500Z,Court sentences 3 men to 15 years in prison for arson of railway infrastructure facilities and military vehicle,en.interfax.com.ua,English,Ukraine,https://en.interfax.com.ua/news/general/1163471.html,https://en.interfax.com.ua/news/general/1163471-amp.html,https://media.interfax.com.ua/media/thumbs/images/2020/11/NTD8ZdCq5Td2.jpg
"""Ukraine"" ""Shahed""",20260429T121500Z,Inside Ukraine battle to defeat the dreaded Shahed – Russia most feared weapon,independent.co.uk,English,United Kingdom,https://www.independent.co.uk/news/world/europe/shahed-drone-russia-putin-ukraine-b2967041.html,,https://static.independent.co.uk/2026/03/27/18/Ukraine_for_Russia-Iran-Drones_57975.jpg?&crop=1200:800
"""Ukraine"" ""Shahed""",20260429T091500Z,"Ukraine eliminates 154 of 171 enemy drones , hits by 12 drones recorded at 10 locations – Air Force",en.interfax.com.ua,English,Ukraine,https://en.interfax.com.ua/news/general/1163258.html,https://en.interfax.com.ua/news/general/1163258-amp.html,https://media.interfax.com.ua/media/thumbs/images/2025/10/cexew/kIjqQp24ISn1.jpg
"""Ukraine"" ""Shahed""",20260429T060000Z,Inside Ukraine drive to defeat the dreaded Shahed drone,yahoo.com,English,United States,https://www.yahoo.com/news/articles/inside-ukraines-drive-defeat-dreaded-050628713.html,,https://s.yimg.com/os/en/reuters.com/30979d1ac954e06b862be3f952b65df1
Ukrzaliznytsia,20260427T140000Z,Ukrzaliznytsia receives first 6 passenger carriages ordered in 2025,en.interfax.com.ua,English,Ukraine,https://en.interfax.com.ua/news/economic/1162639.html,https://en.interfax.com.ua/news/economic/1162639-amp.html,https://media.interfax.com.ua/media/thumbs/images/2021/06/YUMX2WjcN5u_.jpg
Ukrzaliznytsia,20260427T000000Z,В Украине запустили обновленные поезда - Укрзалізниця построит евроколею во Львов,obozrevatel.com,Russian,Ukraine,https://www.obozrevatel.com/ekonomika-glavnaya/economy/v-ukraine-nachali-kursirovat-obnovlennyie-poezda-na-vazhnyih-marshrutah-skolko-stoyat-biletyi.htm,https://www.obozrevatel.com/ekonomika-glavnaya/economy/v-ukraine-nachali-kursirovat-obnovlennyie-poezda-na-vazhnyih-marshrutah-skolko-stoyat-biletyi/amp.htm,
"""Ukraine"" ""energy infrastructure""",20260426T221500Z,Підготовка до зими : Шмигаль озвучив необхідну суму,ua.korrespondent.net,Ukrainian,Ukraine,https://ua.korrespondent.net/ukraine/4874071-pidhotovka-do-zymy-shmyhal-ozvuchyv-neobkhidnu-sumu,https://ua.korrespondent.net/amp/4874071-pidhotovka-do-zymy-shmyhal-ozvuchyv-neobkhidnu-sumu,https://kor.ill.in.ua/m/1260x900/4415663.jpg
