time_start,time_end,model,launch_place,target,target_main,launched,destroyed,not_reach_goal,still_attacking,border_crossing,is_shahed,num_hit_location,num_fall_fragment_location,carrier,turbojet,turbojet_destroyed,affected region,destroyed_details,launched_details,launch_place_details,source
2026-02-26 04:00,2026-02-26 07:00,3M22 Zircon,Crimea,Ukraine,,2.0,2.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02MZ6XcRuDSNkLHf2Ck2w6E7v9WWiw1KMcQ8EbTvgzF4ybex4gUktiWpH7EkD1xU3Gl
2026-02-26,2026-02-26,Unknown UAV,,south,,13.0,13.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid0243fHjG1qJ5biLYKdrwCfCgLFLgzfaDPHTyExt293J9Xak484R7EspWjAMwtvyihwl
2026-02-24 18:30,2026-02-25 07:30,Shahed-136/131,Kursk oblast and Bryansk oblast and Donetsk oblast,Ukraine,,115.0,95.0,0.0,2.0,{},60.0,11.0,0.0,,,,,"{'south': 13, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid03yqbvvDgZHEDZ2isGtBw5sGd7SDyc7HjaDGtveLziBkp9TepYoRUvAQfCuwfSyjnl
2026-02-25,2026-02-25,Unknown UAV,,south,,27.0,26.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid0fdJ7ErkFMtWU38ezJRMUaFuz61V6CvgR8tkkieA71PvBfRBojVrAEGL9Jy2XewMTl
2026-02-25,2026-02-25,Iskander-M,Crimea,Odesa oblast,,1.0,0.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid0fdJ7ErkFMtWU38ezJRMUaFuz61V6CvgR8tkkieA71PvBfRBojVrAEGL9Jy2XewMTl
2026-02-23 18:00,2026-02-24 08:30,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo,Ukraine,,133.0,111.0,0.0,3.0,{},90.0,16.0,1.0,,,,,"{'south': 9, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid07zEhfj1tSutAREd2VkvX4LSuQUkB3wxU5ohkjpffwRD9PLZMvnxNKi9csFMMafzsl
2026-02-24,2026-02-24,Unknown UAV,,south,,12.0,12.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid021ATaMGbaShbCgypUojJtUqtwckHf2S8gmLVhuWWw4Yi2fGQpwCEb5AkaDouo3Kbdl
2026-02-22 18:00,2026-02-23 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast",Ukraine,,126.0,105.0,0.0,1.0,{},80.0,11.0,1.0,,,,,"{'south': 30, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid02fqCNknZ7m9x7qvLL8jZ9V75AFGFgXGQ8QWaFAp7VTZTMTRVGYhNXBaFgzhxqKkwDl
2026-02-22 18:00,2026-02-23 08:00,Iskander-M,Rostov oblast,Ukraine,,1.0,0.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02fqCNknZ7m9x7qvLL8jZ9V75AFGFgXGQ8QWaFAp7VTZTMTRVGYhNXBaFgzhxqKkwDl
2026-02-23,2026-02-23,Unknown UAV,,south,,30.0,30.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid02MBaeL2wQsHayikEYiQz2vvTcztrPxwvzFuyUy1TRD97ADMmAnfYmr3czMDJDJgqQl
2026-02-23,2026-02-23,Reconnaissance UAV,,south,,4.0,4.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid02MBaeL2wQsHayikEYiQz2vvTcztrPxwvzFuyUy1TRD97ADMmAnfYmr3czMDJDJgqQl
2026-02-23,2026-02-23,Iskander-M,Crimea,Odesa oblast,,1.0,0.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid02MBaeL2wQsHayikEYiQz2vvTcztrPxwvzFuyUy1TRD97ADMmAnfYmr3czMDJDJgqQl
2026-02-21 19:00,2026-02-22 10:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo,Ukraine,Kyiv oblast and Poltava oblast and Kirovohrad oblast and Odesa oblast,297.0,274.0,0.0,0.0,{},200.0,14.0,5.0,,,,,"{'south': 22, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid02keSs9mmjmBBcRL7vWrBCpw8eRWT4bCcPq8Gi6UBrrNGa4PeLku629XsN8FdfaaBJl
2026-02-22 04:00,2026-02-22 07:00,X-59/X-69,Donetsk oblast,Ukraine,,4.0,4.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02keSs9mmjmBBcRL7vWrBCpw8eRWT4bCcPq8Gi6UBrrNGa4PeLku629XsN8FdfaaBJl
2026-02-22 04:00,2026-02-22 07:00,X-101/X-555,Vologda oblast,Ukraine,,18.0,17.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02keSs9mmjmBBcRL7vWrBCpw8eRWT4bCcPq8Gi6UBrrNGa4PeLku629XsN8FdfaaBJl
2026-02-22 04:00,2026-02-22 07:00,Iskander-K,Kursk oblast,Ukraine,,2.0,2.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02keSs9mmjmBBcRL7vWrBCpw8eRWT4bCcPq8Gi6UBrrNGa4PeLku629XsN8FdfaaBJl
2026-02-22 04:00,2026-02-22 07:00,C-400 and Iskander-M,Bryansk oblast and Belgorod oblast and Donetsk oblast,Ukraine,,22.0,8.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02keSs9mmjmBBcRL7vWrBCpw8eRWT4bCcPq8Gi6UBrrNGa4PeLku629XsN8FdfaaBJl
2026-02-22 04:00,2026-02-22 05:00,3M22 Zircon,Crimea,Kyiv oblast,,4.0,2.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02keSs9mmjmBBcRL7vWrBCpw8eRWT4bCcPq8Gi6UBrrNGa4PeLku629XsN8FdfaaBJl
